10Cb	10th cerebellar lobule (nodule)	47DF72
PV	paraventricular thalamic nucleus	D4A423
PVA	paraventricular thalamic nucleus, anterior part	DFA300
PVP	paraventricular thalamic nucleus, posterior part	F4B200
PVZ	-------	FF7800
Pa	paraventricular hypoth nucleus	FF7700
Pa4	paratrochlear nucleus	5D17E5
Pa5	paratrigeminal nucleus	339FC7
Pa6	paraabducens nucleus	6E3BD0
PaAM	-------	E96C00
PaAP	paraventricular hypothalamic nucleus, anterior parvicellular part	E9AC76
PaC	paracommissural nucleus of the posterior commissure	9C76E5
PaDC	paraventricular hypothalamic nucleus, dorsal cap	FFD6B2
PaLM	paraventricular hypothalamic nucleus, lateral magnocellular part	FFB676
PaMM	paraventricular hypothalamic nucleus, medial magnocellular part	713BD8
PaMP	paraventricular hypothalamic nucleus, medial parvicellular part	FF973B
PaPo	paraventricular hypothalamic nucleus, posterior part	FF7700
PaR	pararubral nucleus	4723E5
PaS	parasubiculum	D0FF00
PaV	paraventricular hypothalamic nucleus, ventral part	E98D3B
PaXi	paraxiphoid nucleus of thalamus	D4C18E
Pe	periventricular hypothalamic nucleus	FFD7B2
PeF	perifornical nucleus	E99159
PeFLH	perifornical part of lateral hypothalamus	9B76E1
Pi	pineal gland	FFC900
Pi-3	-------	A382E1
PiSt	pineal stalk	AB8EE1
Pir	piriform cortex	CFDF00
Pir-1	-------	DAE900
Pir-1a	-------	F9FFB2
Pir-1b	-------	EDFF00
Pir-2	-------	DFE959
Pir-3	-------	C5D400
Pk	Purkinje cell layer of the cerebellum	9E76E9
PlPAG	pleoglial periaqueductal gray	7677E9
Pn	pontine nuclei	59FFD0
PnC	pontine reticular nucleus, caudal part	3BFFC9
PnO	pontine reticular nucleus, oral part	76E9CA
PnR	pontine raphe nucleus	00FFB4
PnV	pontine reticular nucleus, ventral part	00FFB4
Po	posterior thalamic nuclear group	EF9E00
PoDG	polymorph layer of the dentate gyrus	DCFF00
PoMn	posteromedian thalamic nucleus	D4B86B
PoT	posterior thalamic nuclear group, triangular part	FFA900
Post	postsubiculum	E0FF59
Pr	prepositus nucleus	875FD4
Pr5	principal sensory trigeminal nucleus	00CB7D
Pr5DM	principal sensory trigeminal nucleus, dorsomedial part	00FF99
Pr5VL	principal sensory trigeminal nucleus, ventrolateral part	B2FFE1
PrBo	pre-Botzinger complex	986BED
PrC	precommissural nucleus	4900D4
PrCnF	precuneiform area	772FFF
PrEW	pre-Edinger-Westphal nucleus	733BDC
PrL	prelimbic cortex	F8FF47
PrMC	-------	7847D4
PrS	presubiculum	F0FFB2
Pre-Cb	-------	00FFAE
PtPC	parietal cortex, posterior area, caudal part	F7FF23
PtPD	parietal cortex, posterior area, dorsal part	C3C923
PtPR	parietal cortex, posterior area, rostral part	E5E96B
Py	pyramidal cell layer of the hippocampus	DBE976
R	red nucleus	2CFFCD
RA	-------	59D8C1
RAPir	rostral amygdalopiriform area	F8FFB2
RAPir-1	-------	F9FFB2
RAPir-2	-------	EAFF00
RAPir-3	-------	F1FF59
RAmb	retroambiguus nucleus	A982F2
RC	-------	76DFCD
RCh	retrochiasmatic area	E99A59
RChL	retrochiasmatic area, lateral part	916BD8
REth	retroethmoid nucleus	A676FF
RI	rostral interstitial nucleus of medial longitudinal fasciculus	9E82D0
RIP	raphe interpositus nucleus	00DFB8
RL	retrolemniscal nucleus	A58ED0
RLH	-------	59FFD6
RLi	rostral linear nucleus of the raphe	3BDFC3
RMC	red nucleus, magnocellular part	00FFC2
RMg	raphe magnus nucleus	00FFD4
ROb	raphe obscurus nucleus	76EFDB
RPC	red nucleus, parvicellular part	B2FFED
RPF	retroparafascicular nucleus	8253D8
RPO	-------	1998C7
RPa	raphe pallidus nucleus	3BEFD2
RR	retrorubral nucleus	4923F2
RRF	retrorubral field	2300BF
RRF-A8	retrorubral field and A8 dopamine cells	2600CB
RRe	retrouniens area	540BD8
RSD	retrosplenial dysgranular cortex	F9FF6B
RSG	retrosplenial granular cortex	FFFE00
RSGa	retrosplenial granular cortex, a region	FFFEB2
RSGb	retrosplenial granular cortex, b region	FFFE59
RSGc	retrosplenial granular cortex, c region	FFFE00
RVL	rostroventrolateral reticular nucleus	AD8EE5
RVRG	rostral ventral respiratory group	896BBF
Rad	radiatum layer of the hippocampus	E7FF3B
Rbd	rhabdoid nucleus	5B23BF
Re	reuniens thalamic nucleus	DF9600
ReIC	recess of the inferior colliculus	FF0070
RetroHippRegion	-------	F1FFB2
Rh	rhomboid thalamic nucleus	F4BC23
Ro	nucleus of Roller	560BDC
Rt	reticular thalamic nucleus	E9B423
RtSt	reticluostrial nucleus	A082D4
RtTg	reticulotegmental nucleus of the pons	85E5D8
RtTgL	reticulotegmental nucleus of the pons, lateral part	B2FFF4
RtTgP	reticulotegmental nucleus of the pons, pericentral part	00FFDE
S1	primary somatosensory cortex	E8E900
S1BF	primary somatosensory cortex, barrel field	E9E976
S1DZ	primary somatosensory cortex, dysgranular  zone	FEFF00
S1DZO	primary somatosensory cortex, oral dysgranular zone	E8E900
S1FL	primary somatosensory cortex, forelimb region	FEFFB2
S1HL	primary somatosensory cortex, hindlimb region	E8E93B
S1J	primary somatosensory cortex, jaw region	D3D43B
S1Sh	primary somatosensory cortex, shoulder region	FEFF76
S1T	-------	8647F6
S1Tr	primary somatosensory cortex, trunk region	FDFF3B
S1ULp	primary somatosensory cortex, upper lip region	D2D400
S2	secondary somatosensory cortex	CCD400
SC	superior colliculus	7C76E9
SCO	subcommissural organ	6A17FF
SCh	suprachiasmatic nucleus	FFD7B2
SChDL	suprachiasmatic nucleus, dorsolateral part	FF7900
SChVM	suprachiasmatic nucleus, ventromedial part	FFD7B2
SFO	subfornical organ	6C3BC3
SFi	septofimbrial nucleus	75D400
SG	suprageniculate thalamic nucleus	E9B759
SGe	supragenual nucleus	7223FF
SGl	-------	00BAFF
SHi	septohippocampal nucleus	A8E959
SHy	septohypothalamic nucleus	8C53F2
SI	substantia innominata	FFE600
SIB	substantia innominata, basal part	FFE600
SLu	stratum lucidum of the hippocampus	D4E93B
SM	nucleus of the stria medullaris	885FD0
SMT	submammillothalamic nucleus	9053FA
SMV	superior medullary velum	2CDF85
SN	substantia nigra	4E3BE9
SNC	-------	1700FF
SNCD	substantia nigra, compact part, dorsal tier	1500FF
SNCM	substantia nigra, compact part, medial tier	1900DF
SNCV	substantia nigra, compacta part, ventral tier	B9B2FF
SNL	substantia nigra, lateral part	1F00FF
SNM	-------	6E59FF
SNR	substantia nigra, reticular part	BDB2FF
SNRDM	-------	777777
SNRVL	-------	777777
SO	supraoptic nucleus	FF6400
SOR	supraoptic nucleus, retrochiasmatic part	946BDC
SPF	subparafascicular thalamic nucleus	EFB12C
SPFPC	subparafascicular thalamic nucleus, parvicellular part	FFAE00
SPO	superior paraolivary nucleus	B2EAFF
SPTg	subpeduncular tegmental nucleus	00D1D4
SPa	subparaventricular zone of the hypothalamus	FF8100
ST	bed nucleus of the stria terminalis	96E900
STD	bed nucleus of the stria terminalis, dorsal part	9DFF00
STI	bed nucleus of the stria terminalis, intermediate division	C9FF59
STIA	bed nucleus of the stria terminalis, intraamygdaloid division	ADFF00
STIL	-------	E6FFB2
STL	bed nucleus of the stria terminalis, lateral division	E5FFB2
STLD	bed nucleus of the stria terminalis, lateral division, dorsal part	AAFF00
STLI	bed nucleus of the stria terminalis, lateral division, intermediate part	B9E959
STLJ	bed nucleus of the stria terminalis, lateral division, juxtacapsular part	C6FF59
STLP	bed nucleus of the stria terminalis, lateral division, posterior part	E4FFB2
STLV	bed nucleus of the stria terminalis, lateral division, ventral part	99E900
STM	bed nucleus of the stria terminalis, medial division	90DF00
STMA	bed nucleus of the stria terminalis, medial division, anterior part	ADE93B
STMAL	bed nucleus of the stria terminalis, medial division, anterolateral part	8AD400
STMAM	bed nucleus of the stria terminalis, medial division, anteromedial part	CFFF76
STMP	bed nucleus of the stria terminalis, medial division, posterior part	C1E976
STMPI	bed nucleus of the stria terminalis, medial division, posterointermediate part	B9FF3B
STMPL	bed nucleus of the stria terminalis, medial division, posterolateral part	96E900
STMPM	bed nucleus of the stria terminalis, medial division, posteromedial part	E3FFB2
STMV	bed nucleus of the stria terminalis, medial division, ventral part	A3FF00
STS	bed nucleus of stria terminalis, supracapsular division	A0FF00
STSL	bed nucleus of stria terminalis, supracapsular division, medial part	A1FF00
STSM	bed nucleus of stria terminalis, supracapsular division, lateralpart	E2FFB2
STr	subiculum, transition area	B4DF00
Sag	sagulum nucleus	3BD1D4
Sc	scaphoid thalamic nucleus	6823E1
Sep	-------	ABFF3B
Sim	simple lobule	3BFF6F
SimA	simple lobule A	00FF43
SimB	simple lobule B	B2FFC7
Sol	nucleus of the solitary tract	2CD8C9
SolC	nucleus of the solitary tract, commissural part	85DFD5
SolCe	nucleus of the solitary tract, central part	00CFB9
SolDL	solitary nucleus, dorsolateral part	00EFD6
SolDM	nucleus of the solitary tract, dorsomedial part	59DFD1
SolG	nucleus of the solitary tract, gelatinous part	85EFE4
SolI	nucleus of the solitary tract, interstitial part	59EFE0
SolIM	nucleus of the solitary tract, intermediate part	59FFEF
SolL	nucleus of the solitary tract, lateral part	2CDFCF
SolM	nucleus of the solitary tract, medial part	85FFF4
SolRL	nucleus of the solitary tract, rostrolateral part	00FFE9
SolV	solitary nucleus, ventral part	2CEFDF
SolVL	nucleus of the solitary tract, ventrolateral part	2CFFEE
Sp	-------	6B2FD4
Sp5	-------	59E5DE
Sp5C	spinal trigeminal nucleus, caudal part	59FFF5
Sp5I	spinal trigeminal nucleus, interpolar part	00DFD4
Sp5O	spinal trigeminal nucleus, oral part	00FFF5
Sp5OVL	-------	777777
SpV	-------	590BE1
SpVe	spinal vestibular nucleus	99DDF7
Sph	sphenoid nucleus	33B0DF
StA	strial part of the preoptic area	CEB2FF
StHy	striohypothalamic nucleus	6423D4
Stg	stigmoid hypothalamic nucleus	FF6800
Str	Striatum	FFFAB2
StrD	Dorsal striatum	FFEC00
StrV	Ventral striatum	FFFAB2
Su3	supraoculomotor periaqueductal gray	6A47FF
Su3C	supraoculomotor cap	2E00F2
Su5	supratrigeminal nucleus	99D2E7
SuG	superficial gray layer of the superior colliculus	0C00E9
SuM	supramammillary nucleus	E96400
SuML	supramammillary nucleus, lateral part	FFD3B2
SuMM	supramammillary nucleus, medial part	FF6E00
SuS	superior salivatory nucleus	8C53ED
SuV	-------	8447ED
SuVe	superior vestibular nucleus	66C9EF
Sub	submedius thalamic nucleus	DFC485
SubB	subbrachial nucleus	6C3BBF
SubCA	subcoeruleus nucleus, alpha part	65B8D7
SubCD	subcoeruleus nucleus, dorsal part	00AEEF
SubCV	subcoeruleus nucleus, ventral part	4CB1D7
SubD	submedius thalamic nucleus, dorsal part	FFE7B2
SubG	subgeniculate nucleus	985FFA
SubI	subincertal nucleus	C5A6FA
SubP	subpostrema area	7E53C7
SubV	submedius thalamic nucleus, ventral part	FFB200
Subiculum	-------	F1FFB2
Subth	Subth	FFB559
T	-------	742FE9
TG	tectal gray	9353FF
TS	triangular septal nucleus	865FC7
TT	tensor tympani muscle	ADE900
Te	terete hypothalamic nucleus	FF6100
TeA	temporal associatin cortex	E1E900
Tel	Telencepahlon	E0FF59
Tg	Tegmentum	85FEFF
Th	-------	FFA700
Tr	-------	AE82F6
Tu	olfactory tubercle	FFFAB2
Tu-1	-------	FFFAB2
Tu-2	-------	E9DB00
Tu-3	-------	E9E159
Tu1	olfactory tubercle, layer 1	8E5FDC
TuLH	tuberal region of lateral hypothalamus	6F23ED
Tz	nucleus of the trapezoid body	4CC8F7
Unknown	Not done yet!	5100DF
Unlabeled	-------	FF001B
Uvu	-------	47E977
V	-------	9776CB
V1	primary visual cortex	E7E959
V1B	primary visual cortex, binocular area	FBFF00
V1M	primary visual cortex, monocular area	FDFFB2
V2	-------	FAFF59
V2L	secondary visual cortex, lateral area	FBFF59
V2ML	secondary visual cortex, mediolateral area	F8FF00
V2MM	secondary visual cortex, mediomedial area	FCFFB2
VA	ventral anterior thalamic nucleus	FFE8B2
VA-VL	-------	EFC359
VC	ventral cochlear nucleus	00D7E5
VCA	ventral cochlear nucleus, anterior part	00F3FF
VCAGr	ventral cochlear nucleus, granule cell layer	00F3FF
VCCap	ventral cochlear nucleus, capsular part	7B3BE5
VCP	ventral cochlear nucleus, posterior part	00ECFF
VCPO	ventral cochlear nucleus, posterior part, octopus cell area	B082FA
VCl	ventral part of claustrum	9F6BF6
VDB	nucleus of the vertical limb of the diagonal band	8BFF00
VEn	ventral endopiriform nucleus	5F17D4
VG	ventral geniculate nucleus	DF9F00
VG-1	-------	FFB700
VG-2	-------	FFD059
VG-3	-------	FFE9B2
VIEnt	ventral intermediate entorhinal cortex	C3E900
VL	ventrolateral thalamic nucleus	FFB500
VLG	-------	CF9500
VLH	ventrolateral hypothalamic nucleus	8C53E9
VLL	ventral nucleus of the lat lemniscus	2CFF95
VLPAG	ventrolateral periaqueductal gray	0000E9
VLPO	ventrolateral preoptic nucleus	E95C00
VLi	ventral linear nucleus of the thalamus	DFB647
VM	ventromedial thalamic nucleus	F4D98E
VMH	ventromedial hypothalamic nucleus	FF6F00
VMHA	ventromedial hypothalamic nucleus, anterior part	E99859
VMHC	ventromedial hypothalamic nucleus, central part	FFD3B2
VMHDM	ventromedial hypothalamic nucleus, dorsomedial part	FF6F00
VMHSh	ventromedial nucleus of the hypothalamus shell	FFA259
VMHVL	ventromedial hypothalamic nucleus, ventrolateral part	E96700
VMPO	ventromedial preoptic nucleus	FF7C00
VO	ventral orbital cortex	D1D48E
VOLT	vascular organ of the lamina terminalis	B98EFF
VP	ventral pallidum	FFE900
VPL	ventral posterolateral thalamic nucleus	E9D18E
VPM	ventral posteromedial thalamic nucleus	C99400
VPPC	ventral posterior nucleus of the thalamus, parvicellular part	DFAD23
VPPn	-------	00E9AA
VRe	ventral reuniens thalamic nucleus	FFAB00
VS	ventral subiculum	F1FFB2
VTA	ventral tegmental area	836BE5
VTAR	ventral tegmental area, rostral part	76FCFF
VTM	ventral tuberomammillary nucleus	D45400
VTT	ventral tenia tecta	EAFFB2
VTT-1	-------	EBFFB2
VTT-2	-------	BBFF00
VTT-3	-------	D2FF59
VTg	ventral tegmental nucleus	A16BFA
Ve	-------	9277BF
VeCb	vestibulocerebellar nucleus	23FF64
X	nucleus X	4CCEFF
Xi	xiphoid thalamic nucleus	FFCE47
Y	nucleus Y	19BAF7
Z	nucleus Z	8047DC
ZI	zona incerta	FF8C00
ZIC	zona incerta, caudal part	FF8900
ZID	zona incerta, dorsal part	DF7900
ZIR	zona incerta, rostral part	FFDCB2
ZIV	zona incerta, ventral part	FFB659
Zo	zona layer of the superior colliculus	7E76E9
a	artery	D800C6
aa	-------	9677C7
ac	anterior commissure	DAFFB2
aca	anterior commissure, anterior part	DBFFB2
acer	anterior cerebral artery	FF8EF5
aci	anterior commissure, intrabulbar part	AFFF59
acp	anterior commissure, posterior part	82FF00
alv	alveus of the hippocampus	8CFF59
aopt	-------	DF0400
aot	accessory olfactory tract	B6FF00
apmf	ansoparamedian fissure	4900BF
arteries	-------	FF00DE
asc7	ascending fibers of the facial nerve	5E00F6
asp	anterior spinal artery	F200DC
azac	azygous anterior cerebral artery	E58EDD
azp	azygous pericallosal artery	E523D2
b	-------	4D00C7
bas	basilar artery	FF6BF0
bic	brachium of the inferior colliculus	9253F6
bsc	brachium of the superior colliculus	FF0F00
cbc	-------	6BDF8D
cbw	cerebellar white matter	23E95E
cc	corpus callosum	69FF00
cctd	common carotid artery	CB00B6
cg	cingulum	3FFF00
chp	choroid plexus	FFB2C5
cic	commissure of the inferior colliculus	806BD8
cll	commissure of the lateral lemniscus	3200FF
costr	-------	AA82E9
cp	cerebral peduncle	9C00FF
cs-tract	Corticospinal tract	E0B2FF
csc	commissure of the superior colliculus	FFBAB2
cst	commissural stria terminalis	BCFFB2
ctg	-------	A28EF2
cu	cuneate fasciculus	B69AE1
das	dorsal acoustic stria	00C7FF
dcs	dorsal corticospinal tract	2CEF8E
dcw	deep cerebral white matter	99FF59
dcw-ec-cc-gcc-fmi-fmj	-------	64FF00
df	dorsal fornix	57FF00
dhc	dorsal hippocampal commissure	4CFF00
dlg	deep lingual artery and vein	E500CC
dlo	dorsal lateral olfactory tract	B8FF00
dopamine-cells	-------	FFB2ED
dpal	descending palatine artery	F26BE3
dsc	dorsal spinocerebellar tract	7017FA
dsc-oc	dorsal spinocerebellar tract and olivocerebellar tract	6A0BFF
e	-------	AC82ED
eMC	-------	762FE5
ePC	-------	AA8ED4
ec	external capsule	CFFFB2
ectd	external carotid artery	D88ED0
eml	external medullary lamina	752FE1
f	fornix	CBFFB2
fi	fimbria of the hippocampus	813BED
fmi	forceps minor of the corpus callosum	6BFF00
fmj	forceps major of the corpus callosum	9DFF59
fornix	-------	55FF00
fr	fasciculus retroflexus	BD9AF2
g7	genu of the facial nerve	B98EFA
gcc	genu of the corpus callosum	5DFF00
gpal	greater palatine artery	F247DE
gr	gracile fasciculus	59EFA4
hif	hippocampal fissure	6417D8
hippocampal-white-matter	-------	CAFFB2
ia	internal arcuate fibers	8F6BC7
iala	inferior alveolar artery	D823C2
ic	internal capsule	C559FF
icf	intercrural fissure	5E00ED
icp	inferior cerebellar peduncle (restiform body)	B88EF6
icpx	inferior cerebellar peduncle decussation	9B6BE5
ictd	internal carotid artery	E56BD6
iml	internal medullary lamina	6617DC
imvc	intermedioventral thalamic commissure	6D17ED
infa	infraorbital artery	FF00DE
iopha	inferior ophthalmic artery	F223D7
iorb	infraorbital artery	E547D0
is	-------	B38EE9
lfp	longitudinal fasciculus of the pons	E7B2FF
lga	lingual artery	CB47B9
ll	lateral lemniscus	85FFC3
lo	lateral olfactory tract	B8FF00
lofr	lateral orbitofrontal artery	F28EE4
m	-------	6E2FCB
m5	motor root of the trigeminal nerve	6017CB
masa	masseteric artery	FF47E4
mcer	middle cerebral artery	D847C3
mch	medial corticohypothalamic tract	8847E9
mcp	middle cerebellar peduncle	8EF4AC
me5	mesencephalic trigeminal tract	A877F2
mfb	medial forebrain bundle	7E3BE1
mfba	medial forebrain bundle, 'a' component	6E23DC
mfbb	medial forebrain bundle, 'b' component	6C17E9
ml	medial lemniscus	00C0D8
mlf	medial longitudinal fasciculus	85DFB3
mlx	medial lemniscus decussation	00E2FF
mm	middle meningeal artery	FF23DD
mofr	medial orbitofrontal artery	CB6BBC
mp	mammillary peduncle	FFD9B2
mt	mammillothalamic tract	A082CB
mtg	mammillotegmental tract	C09AF6
mxa	maxillary artery	CB23B1
nerves	nerves	D476DF
noradrenaline-cells	-------	FF59C8
ns	nigrostriatal bundle	8453CB
oc	olivocerebellar tract	7823F2
ocb	olivocochlear bundle	8153C3
och	optic chiasm	5A0BCB
olfa	-------	9677C3
opt	optic tract	6300F2
other	-------	EF00B7
ox	-------	FF7059
p1	-------	6A0BF2
p1PAG	p1 periaqueductal gray	B2B2FF
p1Rt	-------	8347D8
pc	posterior commissure	896BFF
pcer	posterior cerebral artery	D86BC7
pcuf	preculminate fissure	802FF2
pfs	parafloccular sulcus	00FF4B
plf	posterolateral fissure	6000E9
pm	principal mammillary tract	722FD0
pms	paramedian sulcus	6A00FF
pons	Pons	2CCEF2
ppf	prepyramidal fissure	B88EF2
prf	primary fissure	23D458
psf	posterior superior fissure	956BD0
py	pyramidal tract	8600FF
pyx	pyramidal decussation	8400FF
r	-------	8C5FCB
rLL	-------	670BE5
rs	rubrospinal tract	7317F2
s5	sensory root of the trigeminal nerve	7D47C7
scc	splenium of the corpus callosum	D1FFB2
scp	superior cerebellar peduncle (brachium conjunctivum)	00D43B
scpd	superior cerebellar peduncle, descending limb	B2FFC7
sf	secondary fissure	8C3BFA
sm	stria medullaris of the thalamus	7947BF
sol	solitary tract	00DFCD
sox	supraoptic decussation	6517D0
sp5	spinal trigeminal tract	AF8EDC
st	stria terminalis	A782D8
str	superior thalamic radiation	9E77D4
subcortical-white-matter	-------	CBFFB2
sumx	supramammillary decussation	BE9AED
tfp	transverse fibers of the pons	AF77FA
ts	tectospinal tract	00EF7A
tth	trigeminothalamic tract	9C5FED
tz	trapezoid body	A16BE9
un	uncinate fasciculus of the cerebellum	9053E1
unx	uncinate fasciculus decussation	A56BF2
v	vein	9253E5
vBrain	-------	FF5961
veme	vestibulomesencephalic tract	5F00DC
ventricles	-------	FF0067
vert	vertebral artery	9147F2
vesp	vestibulospinal tract	783BC7
vhc	ventral hippocampal commissure	C8FFB2
vlh	ventrolateral hypothalamic tract	903BFF
vn	vomeronasal nerve	D0FF59
vsc	ventral spinocerebellar tract	852FF6
vtgx	ventral tegmental decussation	B2FDFF
xicp	-------	9747FF
xscp	decussation of the superior cerebellar peduncle	00FF47
10Gn	vagus nerve ganglion	777777
11n	root of accessory nerve	777777
12C	hypoglossal canal	777777
1b	layer 1b of cortex	778899
1Cx	layer 1 of developing cortex	777777
1	layer 1 of cortex	777777
1n	olfactory nerve or its rootlets	777777
21	-------	FFFF00
2	layer 2 of cortex	777777
32	-------	40826D
321	-------	C08081
3-4	-------	F49AC2
3ECIC	-------	ABCDEF
3	layer 3 of cortex	777777
4	layer 4 of cortex	777777
5a	layer 5a of cortex	777777
5b	layer 5b of cortex	FFEF00
5Gn-5n	trigeminal ganglion and trigeminal nerve	777777
5	layer 5 of cortex	777777
5man	trigeminal nerve, mandibular division	777777
5mx	trigeminal nerve, maxillary division	777777
5n	trigeminal nerve	777777
5oph	trigeminal nerve, ophthalmic division	777777
5T	-------	C80815
5VM	motor trigeminal nucleus, ventromedial part	777777
6	layer 6 of cortex	777777
7Gn	a	777777
7gp	facial nerve, greater petrosal branch	777777
9-10-11n	glossopharyngeal, vagus, and accessory nerves	777777
9-10n	glossopharyngeal and vagus nerves	777777
9a,bCb	9th cerebellar lobule, a and b	967117
9aCb	9th cerebellar lobule, a	777777
9bCb	9th cerebellar lobule, b	777777
A4	A4 noradrenaline cells	777777
AC	anterior commissural nucleus	777777
ADig	anterior belly of the digastric muscle	777777
af	amygdaloid fissure	777777
AHiPM	amygdalohippocampal area, posteromedial part	FAD6A5
AI	agranular insular cortex	777777
Alar	alar ligament of dens	777777
ALD	apical ligament of dens	777777
Amg	amygdala	777777
AntCh	anterior chamber of the eye	777777
AOrb	alar orbital bone	777777
apal	ascending palatine artery	777777
Apex	apex of cochlea	777777
APF	anterior perifornical nucleus	777777
APit	anterior lobe of the pituitary	777777
AReCa	anterior rectus capitis muscle	777777
Ary	arytenoid cartilage	777777
ASCC	anterior semicircular canal	777777
ASph	alisphenoid bone	777777
AtAx	atlantoaxial joint	777777
ATh	anterior thalamic region	777777
ATh	anterior thalamic region	777777
Atlas	atlas	777777
AtOc	atlantooccipital joint	777777
Aty	arytenoid cartilage	777777
Aud	auditory tube	777777
AudC	auditory tube cartilage	777777
Axis	axis (C2 vertebra)	777777
BCo	basal nucleus, core	777777
BHy	body of hyoid bone	777777
BOcc	basioccipital bone	777777
BSph	basisphenoid bone	777777
BStap	base of stapes	777777
BTel	basal telencephalon	777777
BTelne	basal telencephalon, neuroepithelial zone	777777
C1-A1	C1 adrenaline cells and A1 noradrenaline cells	645452
C1-CVL	C1 cells and caudoventrolateral reticular nucleus	777777
C1-RVL	rostral ventrolateral reticular nucleus	777777
cav	cavernous sinus	777777
cbx	cerebellar commissure	777777
CCrus	common crus of the semicircular canals	777777
CD	cochlear duct	777777
CeAu	cervicoauricular muscle	777777
Cg	cingulate cortex	777777
CGn	cochlear (spiral) ganglion	777777
Clav	clavicle	777777
Cond	condylar process of mandible	777777
Cor	coronoid process of the mandible	777777
Cornea	cornea	777777
Corti	organ of Corti	777777
CPune	caudate putamen, neuroepithelial zone	777777
cpx	carotid plexus	777777
CrP	cribriform plate of the ethmoid	777777
CtdB	carotid body	777777
Ctd	carotid canal	777777
cty	chorda tympani nerve	777777
CV2	second cervical vertebra	777777
CV	cervical vertebra	777777
CVL-C1	caudoventrolateral reticular nucleus and C1 cells	777777
Cx1	developing cortex, layer 1	777777
CxA2	cortex-amygdala transition zone, layer 2	777777
Cxne	neuroepithelial zone of developing cortex	777777
CxP	cortical plate	777777
DAx	dens of the axis	777777
D	dorsal nucleus of the spinal cord	777777
DH	dorsal horn of spinal cord	777777
DRGn	dorsal root ganglion	777777
dtgx	dorsal tegmental decussation	F0EAD6
DTT1	dorsal tenia tecta layer 1	777777
ECIC1	external cortex of the inferior colliculus, layer 1	777777
EGL	external granular layer of developing cerebellum	777777
ejugv	external jugular vein	777777
ELS	endolymphatic sac	777777
emv	emissary vein	777777
EnO	enamel organ	777777
Ent	entorhinal cortex	777777
Entne	entorhinal cortex, neuroepithelial zone	777777
EpiG	epiglottis	777777
EthB	ethmoid bone	777777
ExOrb	exorbital gland	777777
Eye	eye	777777
Eyelid	eyelid	777777
farfocle	-------	777777
Fat	loculated brown fat	777777
FF	fields of Forel	777777
FMag	foramen magnum	777777
Fro	frontal bone	777777
Fro-Par	frontal and parietal bones	777777
Ge5	gelatinous layer of the caudal spinal trigeminal nucleus	FFBA00
GeGl	genioglossus muscle	777777
GeHy	geniohyoid muscle	777777
GHHy	greater horn of hyoid bone	777777
Gonial	gonial process	777777
GPF	greater palatine foramen	777777
gpn	greater palatine nerve	777777
gpv	greater palatine vein	777777
HardG	Harderian gland	777777
hbc	habenular commissure	78866B
Hb	habenular nuclei	777777
Hem	hemisphere of cerebellum	777777
Hi	hippocampal region	777777
Hil	hilus of the dentate gyrus	777777
HMall	handle of malleus	777777
HPtg	hamulus of the pterygoid bone	777777
HSCCA	horizontal semicircular canal ampulla	777777
HSCC	horizontal semicircular canal	777777
HStap	handle of stapes	777777
HyGl	hyoglossus muscle	777777
Hyoid	hyoid bone	777777
I9Gn	inferior ganglion of the glossopharyngeal nerve	777777
ial	inferior alveolar neurovascular bundle	777777
ialn	inferior alveolar nerve	777777
IAud	internal auditory meatus	777777
ICM	inferior constrictor muscle of the pharynx	777777
ICx	intermediate cortical layer	777777
ijugv	internal jugular vein	777777
ILG	-------	777777
IML	intermediolateral cell column of the spinal cord	777777
Inc	incus	777777
InfM	inferior meatus	777777
InPl	inner plexiform layer of the retina	777777
Ins	insular cortex	777777
IObCa	inferior oblique capitis muscle	777777
IOb	inferior oblique muscle	777777
IOrbF	infraorbital foramen	777777
IOrC	infraorbital canal	777777
IPit	intermediate lobe of the pituitary	777777
IRec	inferior rectus muscle	777777
IRe	infundibular recess	777777
Iris	iris	777777
isRt	isthmic reticular formation	777777
JugF	jugular foramen	777777
LacG	lacrimal gland	777777
Lar	larynx	777777
LarPh	laryngopharynx	777777
LatC	lateral cervical nucleus of the spinal cord	777777
lc	lateral column of the spinal cord	777777
Lens	lens	777777
LEnt	lateral entorhinal cortex	777777
LgCa	longus capitis muscle	777777
lgn	lingual nerve	777777
LgsCa	longissimus capitis muscle	777777
lgv	lingual vein	777777
LHb	lateral habenular nucleus	F4C2C2
LHbL	lateral habenular nucleus, lateral part	D19FE8
LHbM	lateral habenular nucleus, medial part	F4BBFF
LOT2	nucleus of the lateral olfactory tract, layer 2	777777
LPal	levator palati muscle	777777
LPBM	lateral parabrachial nucleus, medial part	777777
LPS	levator palpebrae superioris muscle	777777
LPtg	lateral pterygoid muscle	777777
LReCa	lateral rectus capitis muscle	777777
LRec	lateral rectus muscle	777777
LScM	levator scapulae muscle	777777
LSp	lateral spinal nucleus	777777
LTer	lemina terminalis	777777
Mall	malleus	777777
Man	mandible	777777
MasM	masseter muscle	777777
masn	masseteric nerve	777777
masv	masseteric vein	777777
Mc	Meckel's cartilage	777777
MCM	middle constrictor muscle of the pharynx	777777
MedCM	medial cerebellar nucleus, caudomedial part	777777
MEntV	medial entorhinal cortex, ventral part	777777
MHb	medial habenular nucleus	AB4E52
MidM	middle meatus	777777
mmp	middle meningeal artery,  parietal branch	777777
