10Cb	10th cerebellar lobule (nodule)	00D83D
PaMM	paraventricular hypothalamic nucleus, medial magnocellular part	A78CDC
PaMP	paraventricular hypothalamic nucleus, medial parvicellular part	E96D00
PaPo	paraventricular hypothalamic nucleus, posterior part	FFD6B2
PaR	pararubral nucleus	2600D8
PaS	parasubiculum	F1FFB2
PaV	paraventricular hypothalamic nucleus, ventral part	FF7800
PaXi	paraxiphoid nucleus of thalamus	F2CD6B
Pe	periventricular hypothalamic nucleus	FFAA59
PeF	perifornical nucleus	FFD0B2
PeFLH	perifornical part of lateral hypothalamus	A57FED
Pi	pineal gland	FFDC59
Pi-3	-------	777777
PiSt	pineal stalk	7133E9
Pir	piriform cortex	777777
Pir-1	-------	F3FF59
Pir-1a	-------	DFE959
Pir-1b	-------	D9E900
Pir-2	-------	F9FFB2
Pir-3	-------	C5D400
Pk	Purkinje cell layer of the cerebellum	4600CB
PlPAG	pleoglial periaqueductal gray	3B3CE9
Pn	pontine nuclei	59FFD0
PnC	pontine reticular nucleus, caudal part	00FFB8
PnO	pontine reticular nucleus, oral part	59FFD2
PnR	pontine raphe nucleus	00FFB4
PnV	pontine reticular nucleus, ventral part	00FFB4
Po	posterior thalamic nuclear group	DFB259
PoDG	polymorph layer of the dentate gyrus	E8FF59
PoMn	posteromedian thalamic nucleus	CBA847
PoT	posterior thalamic nuclear group, triangular part	FFA900
Post	postsubiculum	B6DF00
Pr	prepositus nucleus	9666F2
Pr5	principal sensory trigeminal nucleus	777777
Pr5DM	principal sensory trigeminal nucleus, dorsomedial part	00FF99
Pr5VL	principal sensory trigeminal nucleus, ventrolateral part	B2FFE1
PrBo	pre-Botzinger complex	814CE5
PrC	precommissural nucleus	B799F2
PrCnF	precuneiform area	A17FE1
PrEW	pre-Edinger-Westphal nucleus	5500F6
PrL	prelimbic cortex	CFD447
PrMC	-------	9072C7
PrS	presubiculum	E0FF59
Pre-Cb	-------	777777
PtPC	parietal cortex, posterior area, caudal part	E5E96B
PtPD	parietal cortex, posterior area, dorsal part	E3E947
PtPR	parietal cortex, posterior area, rostral part	D1D48E
Py	pyramidal cell layer of the hippocampus	EEFF76
R	red nucleus	777777
RA	-------	777777
RAPir	rostral amygdalopiriform area	777777
RAPir-1	-------	EBFF00
RAPir-2	-------	F1FF59
RAPir-3	-------	F8FFB2
RAmb	retroambiguus nucleus	8E59F2
RC	-------	777777
RCh	retrochiasmatic area	FFD4B2
RChL	retrochiasmatic area, lateral part	5D26C3
REth	retroethmoid nucleus	8059C7
RI	rostral interstitial nucleus of medial longitudinal fasciculus	BFA5ED
RIP	raphe interpositus nucleus	3BFFDD
RL	retrolemniscal nucleus	A472FF
RLH	-------	777777
RLi	rostral linear nucleus of the raphe	3BE9CC
RMC	red nucleus, magnocellular part	B2FFEC
RMg	raphe magnus nucleus	00E9C2
ROb	raphe obscurus nucleus	B2FFF2
RPC	red nucleus, parvicellular part	00FFC5
RPF	retroparafascicular nucleus	4E00DC
RPO	-------	777777
RPa	raphe pallidus nucleus	76E9D7
RR	retrorubral nucleus	7559F2
RRF	retrorubral field	4C2CD8
RRF-A8	retrorubral field and A8 dopamine cells	777777
RRe	retrouniens area	7A3FE5
RSD	retrosplenial dysgranular cortex	FAFF8E
RSG	retrosplenial granular cortex	777777
RSGa	retrosplenial granular cortex, a region	FFFEB2
RSGb	retrosplenial granular cortex, b region	FFFE59
RSGc	retrosplenial granular cortex, c region	FFFE00
RVL	rostroventrolateral reticular nucleus	5519C3
RVRG	rostral ventral respiratory group	8559D4
Rad	radiatum layer of the hippocampus	DFFF00
Rbd	rhabdoid nucleus	B28CF6
Re	reuniens thalamic nucleus	FFAC00
ReIC	recess of the inferior colliculus	FFB2D4
RetroHippRegion	-------	777777
Rh	rhomboid thalamic nucleus	D8C48E
Ro	nucleus of Roller	A87FF2
Rt	reticular thalamic nucleus	D8BB6B
RtSt	reticluostrial nucleus	630CFF
RtTg	reticulotegmental nucleus of the pons	00F2D2
RtTgL	reticulotegmental nucleus of the pons, lateral part	00FFDA
RtTgP	reticulotegmental nucleus of the pons, pericentral part	B2FFF5
S1	primary somatosensory cortex	FEFF59
S1BF	primary somatosensory cortex, barrel field	D4D43B
S1DZ	primary somatosensory cortex, dysgranular  zone	FEFF00
S1DZO	primary somatosensory cortex, oral dysgranular zone	FEFFB2
S1FL	primary somatosensory cortex, forelimb region	E9E976
S1HL	primary somatosensory cortex, hindlimb region	D3D400
S1J	primary somatosensory cortex, jaw region	FEFF76
S1Sh	primary somatosensory cortex, shoulder region	E8E900
S1T	-------	777777
S1Tr	primary somatosensory cortex, trunk region	E8E93B
S1ULp	primary somatosensory cortex, upper lip region	FDFF3B
S2	secondary somatosensory cortex	F9FF6B
SC	superior colliculus	777777
SCO	subcommissural organ	8B4CFA
SCh	suprachiasmatic nucleus	FF7900
SChDL	suprachiasmatic nucleus, dorsolateral part	FF7900
SChVM	suprachiasmatic nucleus, ventromedial part	FFD7B2
SFO	subfornical organ	5F0CF2
SFi	septofimbrial nucleus	81E900
SG	suprageniculate thalamic nucleus	E99900
SGe	supragenual nucleus	6526D4
SGl	-------	777777
SHi	septohippocampal nucleus	8CFF00
SHy	septohypothalamic nucleus	6B33D0
SI	substantia innominata	777777
SIB	substantia innominata, basal part	FFE600
SLu	stratum lucidum of the hippocampus	CCE900
SM	nucleus of the stria medullaris	7333E5
SMT	submammillothalamic nucleus	C3A5F6
SMV	superior medullary velum	59FFAB
SN	substantia nigra	777777
SNC	-------	777777
SNCD	substantia nigra, compact part, dorsal tier	B8B2FF
SNCM	substantia nigra, compact part, medial tier	BBB2FF
SNCV	substantia nigra, compacta part, ventral tier	1800FF
SNL	substantia nigra, lateral part	2000FF
SNM	-------	777777
SNR	substantia nigra, reticular part	7059FF
SNRDM	-------	777777
SNRVL	-------	777777
SO	supraoptic nucleus	FF9A59
SOR	supraoptic nucleus, retrochiasmatic part	6226CB
SPF	subparafascicular thalamic nucleus	DFC385
SPFPC	subparafascicular thalamic nucleus, parvicellular part	FFAE00
SPO	superior paraolivary nucleus	59AAC8
SPTg	subpeduncular tegmental nucleus	76E8E9
SPa	subparaventricular zone of the hypothalamus	FFAD59
ST	bed nucleus of the stria terminalis	777777
STD	bed nucleus of the stria terminalis, dorsal part	9DFF00
STI	bed nucleus of the stria terminalis, intermediate division	777777
STIA	bed nucleus of the stria terminalis, intraamygdaloid division	ADFF00
STIL	-------	E6FFB2
STL	bed nucleus of the stria terminalis, lateral division	777777
STLD	bed nucleus of the stria terminalis, lateral division, dorsal part	B9E959
STLI	bed nucleus of the stria terminalis, lateral division, intermediate part	C7FF59
STLJ	bed nucleus of the stria terminalis, lateral division, juxtacapsular part	E5FFB2
STLP	bed nucleus of the stria terminalis, lateral division, posterior part	A8FF00
STLV	bed nucleus of the stria terminalis, lateral division, ventral part	99E900
STM	bed nucleus of the stria terminalis, medial division	777777
STMA	bed nucleus of the stria terminalis, medial division, anterior part	A6FF00
STMAL	bed nucleus of the stria terminalis, medial division, anterolateral part	BAFF3B
STMAM	bed nucleus of the stria terminalis, medial division, anteromedial part	ACE93B
STMP	bed nucleus of the stria terminalis, medial division, posterior part	E4FFB2
STMPI	bed nucleus of the stria terminalis, medial division, posterointermediate part	C1E976
STMPL	bed nucleus of the stria terminalis, medial division, posterolateral part	88D400
STMPM	bed nucleus of the stria terminalis, medial division, posteromedial part	CEFF76
STMV	bed nucleus of the stria terminalis, medial division, ventral part	95E900
STS	bed nucleus of stria terminalis, supracapsular division	777777
STSL	bed nucleus of stria terminalis, supracapsular division, medial part	A1FF00
STSM	bed nucleus of stria terminalis, supracapsular division, lateralpart	E2FFB2
STr	subiculum, transition area	CEFF00
Sag	sagulum nucleus	00FAFF
Sc	scaphoid thalamic nucleus	9672D4
Sep	-------	777777
Sim	simple lobule	76FF9B
SimA	simple lobule A	B2FFC6
SimB	simple lobule B	00FF44
Sol	nucleus of the solitary tract	85CBC5
SolC	nucleus of the solitary tract, commissural part	2CEFD9
SolCe	nucleus of the solitary tract, central part	59DFD0
SolDL	solitary nucleus, dorsolateral part	59FFED
SolDM	nucleus of the solitary tract, dorsomedial part	00CFBA
SolG	nucleus of the solitary tract, gelatinous part	00DFC9
SolI	nucleus of the solitary tract, interstitial part	59EFE0
SolIM	nucleus of the solitary tract, intermediate part	2CDFCE
SolL	nucleus of the solitary tract, lateral part	2CFFEC
SolM	nucleus of the solitary tract, medial part	00FFE8
SolRL	nucleus of the solitary tract, rostrolateral part	85EFE6
SolV	solitary nucleus, ventral part	85FFF5
SolVL	nucleus of the solitary tract, ventrolateral part	85DFD8
Sp	-------	777777
Sp5	-------	777777
Sp5C	spinal trigeminal nucleus, caudal part	59FFF5
Sp5I	spinal trigeminal nucleus, interpolar part	B2FFFB
Sp5O	spinal trigeminal nucleus, oral part	00DFD6
Sp5OVL	-------	777777
SpV	-------	A47FE5
SpVe	spinal vestibular nucleus	94CEE3
Sph	sphenoid nucleus	59D2FF
StA	strial part of the preoptic area	4E0CBF
StHy	striohypothalamic nucleus	A88CD8
Stg	stigmoid hypothalamic nucleus	FF9C59
Str	Striatum	777777
StrD	Dorsal striatum	777777
StrV	Ventral striatum	777777
Su3	supraoculomotor periaqueductal gray	9585D8
Su3C	supraoculomotor cap	542CFF
Su5	supratrigeminal nucleus	3BA9D1
SuG	superficial gray layer of the superior colliculus	7E76FF
SuM	supramammillary nucleus	FFD3B2
SuML	supramammillary nucleus, lateral part	FF6D00
SuMM	supramammillary nucleus, medial part	FFD3B2
SuS	superior salivatory nucleus	9C72E5
SuV	-------	9365E1
SuVe	superior vestibular nucleus	94DBF5
Sub	submedius thalamic nucleus	EFB42C
SubB	subbrachial nucleus	6B26E1
SubCA	subcoeruleus nucleus, alpha part	77D3F5
SubCD	subcoeruleus nucleus, dorsal part	3BAFDA
SubCV	subcoeruleus nucleus, ventral part	3BC9FF
SubD	submedius thalamic nucleus, dorsal part	FFB100
SubG	subgeniculate nucleus	AE7FFF
SubI	subincertal nucleus	630CF6
SubP	subpostrema area	7026ED
SubV	submedius thalamic nucleus, ventral part	FFE7B2
Subiculum	-------	777777
Subth	Subth	777777
T	-------	6519E5
TG	tectal gray	7D32FA
TS	triangular septal nucleus	9572D0
TT	tensor tympani muscle	777777
Te	terete hypothalamic nucleus	FF6100
TeA	temporal associatin cortex	F6FF23
Tel	Telencepahlon	777777
Tg	Tegmentum	777777
Th	-------	DF9200
Tr	-------	B899ED
Tu	olfactory tubercle	FFEF00
Tu-1	-------	E9E059
Tu-2	-------	FFF559
Tu-3	-------	E9DB00
Tu1	olfactory tubercle, layer 1	777777
TuLH	tuberal region of lateral hypothalamus	7F33FF
Tz	nucleus of the trapezoid body	1DB4EC
Unknown	Not done yet!	777777
Unlabeled	-------	000000
Uvu	-------	777777
V	-------	777777
V1	primary visual cortex	E7E959
V1B	primary visual cortex, binocular area	FBFF00
V1M	primary visual cortex, monocular area	FDFFB2
V2	-------	777777
V2L	secondary visual cortex, lateral area	FDFFB2
V2ML	secondary visual cortex, mediolateral area	F8FF00
V2MM	secondary visual cortex, mediomedial area	FAFF59
VA	ventral anterior thalamic nucleus	FFE8B2
VA-VL	-------	777777
VC	ventral cochlear nucleus	777777
VCA	ventral cochlear nucleus, anterior part	00F3FF
VCAGr	ventral cochlear nucleus, granule cell layer	00F3FF
VCCap	ventral cochlear nucleus, capsular part	5E0CE5
VCP	ventral cochlear nucleus, posterior part	00ECFF
VCPO	ventral cochlear nucleus, posterior part, octopus cell area	B18CED
VCl	ventral part of claustrum	6919ED
VDB	nucleus of the vertical limb of the diagonal band	A8E959
VEn	ventral endopiriform nucleus	B78CFF
VG	ventral geniculate nucleus	FFB600
VG-1	-------	DFA000
VG-2	-------	FFE9B2
VG-3	-------	FFD059
VIEnt	ventral intermediate entorhinal cortex	D5FF00
VL	ventrolateral thalamic nucleus	FFB500
VLG	-------	EFAB00
VLH	ventrolateral hypothalamic nucleus	7B3FDC
VLL	ventral nucleus of the lat lemniscus	2CFF95
VLPAG	ventrolateral periaqueductal gray	3B3BFF
VLPO	ventrolateral preoptic nucleus	E95C00
VLi	ventral linear nucleus of the thalamus	FFE18E
VM	ventromedial thalamic nucleus	FFCE47
VMH	ventromedial hypothalamic nucleus	FF6F00
VMHA	ventromedial hypothalamic nucleus, anterior part	777777
VMHC	ventromedial hypothalamic nucleus, central part	FFD3B2
VMHDM	ventromedial hypothalamic nucleus, dorsomedial part	FF6F00
VMHSh	ventromedial nucleus of the hypothalamus shell	FFA259
VMHVL	ventromedial hypothalamic nucleus, ventrolateral part	DF6200
VMPO	ventromedial preoptic nucleus	DF6D00
VO	ventral orbital cortex	EBF400
VOLT	vascular organ of the lamina terminalis	784CBF
VP	ventral pallidum	FFF8B2
VPL	ventral posterolateral thalamic nucleus	E5BB47
VPM	ventral posteromedial thalamic nucleus	D8B247
VPPC	ventral posterior nucleus of the thalamus, parvicellular part	FFD76B
VPPn	-------	777777
VRe	ventral reuniens thalamic nucleus	FFAB00
VS	ventral subiculum	F1FFB2
VTA	ventral tegmental area	2F00F2
VTAR	ventral tegmental area, rostral part	76FCFF
VTM	ventral tuberomammillary nucleus	FF6500
VTT	ventral tenia tecta	BBFF00
VTT-1	-------	D3FF59
VTT-2	-------	EAFFB2
VTT-3	-------	BBFF00
VTg	ventral tegmental nucleus	A672FA
Ve	-------	9472CB
VeCb	vestibulocerebellar nucleus	777777
X	nucleus X	77D9FF
Xi	xiphoid thalamic nucleus	F2D78E
Y	nucleus Y	77CCEC
Z	nucleus Z	8D65CB
ZI	zona incerta	777777
ZIC	zona incerta, caudal part	DF7800
ZID	zona incerta, dorsal part	FFB359
ZIR	zona incerta, rostral part	FF8D00
ZIV	zona incerta, ventral part	FFDDB2
Zo	zona layer of the superior colliculus	0F00FF
a	artery	EF00DA
aa	-------	C7A5FF
ac	anterior commissure	DAFFB2
aca	anterior commissure, anterior part	B1FF59
acer	anterior cerebral artery	CF00BB
aci	anterior commissure, intrabulbar part	DAFFB2
acp	anterior commissure, posterior part	82FF00
alv	alveus of the hippocampus	CAFFB2
aopt	-------	777777
aot	accessory olfactory tract	B6FF00
apmf	ansoparamedian fissure	9972D8
arteries	-------	777777
asc7	ascending fibers of the facial nerve	7D4CCB
asp	anterior spinal artery	DF3BCE
azac	azygous anterior cerebral artery	EF76E2
azp	azygous pericallosal artery	FF3BE8
b	-------	7432DC
bas	basilar artery	FFB2F5
bic	brachium of the inferior colliculus	8259C3
bsc	brachium of the superior colliculus	FFB5B2
cbc	-------	47D872
cbw	cerebellar white matter	00CB3C
cc	corpus callosum	69FF00
cctd	common carotid artery	777777
cg	cingulum	3FFF00
chp	choroid plexus	FFB2C5
cic	commissure of the inferior colliculus	2D00E5
cll	commissure of the lateral lemniscus	3300FF
costr	-------	620CE9
cp	cerebral peduncle	BE59FF
cs-tract	Corticospinal tract	777777
csc	commissure of the superior colliculus	FF1E00
cst	commissural stria terminalis	BCFFB2
ctg	-------	777777
cu	cuneate fasciculus	6D19F2
das	dorsal acoustic stria	00C7FF
dcs	dorsal corticospinal tract	59EFA4
dcw	deep cerebral white matter	D0FFB2
dcw-ec-cc-gcc-fmi-fmj	-------	777777
df	dorsal fornix	CCFFB2
dhc	dorsal hippocampal commissure	8BFF59
dlg	deep lingual artery and vein	777777
dlo	dorsal lateral olfactory tract	B8FF00
dopamine-cells	-------	777777
dpal	descending palatine artery	777777
dsc	dorsal spinocerebellar tract	A07FD4
dsc-oc	dorsal spinocerebellar tract and olivocerebellar tract	8D4CF2
e	-------	AF8CE5
eMC	-------	640CED
ePC	-------	A172E9
ec	external capsule	60FF00
ectd	external carotid artery	777777
eml	external medullary lamina	B48CF2
f	fornix	54FF00
fi	fimbria of the hippocampus	7A3FD4
fmi	forceps minor of the corpus callosum	D2FFB2
fmj	forceps major of the corpus callosum	9DFF59
fornix	-------	777777
fr	fasciculus retroflexus	9A7FC3
g7	genu of the facial nerve	6400FF
gcc	genu of the corpus callosum	96FF59
gpal	greater palatine artery	777777
gr	gracile fasciculus	00FF80
hif	hippocampal fissure	9C7FC7
hippocampal-white-matter	-------	777777
ia	internal arcuate fibers	6B0CFA
iala	inferior alveolar artery	777777
ic	internal capsule	E4B2FF
icf	intercrural fissure	5D0CD8
icp	inferior cerebellar peduncle (restiform body)	7A26FA
icpx	inferior cerebellar peduncle decussation	7832E1
ictd	internal carotid artery	FF00DD
iml	internal medullary lamina	777777
imvc	intermedioventral thalamic commissure	7D4CC7
infa	infraorbital artery	777777
iopha	inferior ophthalmic artery	777777
iorb	infraorbital artery	777777
is	-------	777777
lfp	longitudinal fasciculus of the pons	AF00FF
lga	lingual artery	777777
ll	lateral lemniscus	59DF9D
lo	lateral olfactory tract	B8FF00
lofr	lateral orbitofrontal artery	EF3BD6
m	-------	777777
m5	motor root of the trigeminal nerve	6E33C7
masa	masseteric artery	777777
mcer	middle cerebral artery	DF76D0
mch	medial corticohypothalamic tract	A472ED
mcp	middle cerebellar peduncle	23E55D
me5	mesencephalic trigeminal tract	7326E5
mfb	medial forebrain bundle	A772F6
mfba	medial forebrain bundle, 'a' component	6319D0
mfbb	medial forebrain bundle, 'b' component	8959D0
ml	medial lemniscus	59D5E5
mlf	medial longitudinal fasciculus	85FFC3
mlx	medial lemniscus decussation	00E2FF
mm	middle meningeal artery	777777
mofr	medial orbitofrontal artery	FF76EA
mp	mammillary peduncle	FF8200
mt	mammillothalamic tract	6D33C3
mtg	mammillotegmental tract	5C0CD0
mxa	maxillary artery	777777
nerves	nerves	777777
noradrenaline-cells	-------	777777
ns	nigrostriatal bundle	570CC3
oc	olivocerebellar tract	853FE9
ocb	olivocochlear bundle	B999E9
och	optic chiasm	4F00C3
olfa	-------	9459E9
opt	optic tract	B28CE9
other	-------	777777
ox	-------	777777
p1	-------	8E66C7
p1PAG	p1 periaqueductal gray	0100E9
p1Rt	-------	B07FF6
pc	posterior commissure	522CE5
pcer	posterior cerebral artery	DF00BB
pcuf	preculminate fissure	7E3FD8
pfs	parafloccular sulcus	6BFF96
plf	posterolateral fissure	9F7FCB
pm	principal mammillary tract	9659ED
pms	paramedian sulcus	763FC3
pons	Pons	777777
ppf	prepyramidal fissure	8A3FF2
prf	primary fissure	8EE5A8
psf	posterior superior fissure	8C66C3
py	pyramidal tract	8600FF
pyx	pyramidal decussation	8400FF
r	-------	777777
rLL	-------	9F72DC
rs	rubrospinal tract	854CD4
s5	sensory root of the trigeminal nerve	8333F2
scc	splenium of the corpus callosum	67FF00
scp	superior cerebellar peduncle (brachium conjunctivum)	00E941
scpd	superior cerebellar peduncle, descending limb	B2FFC7
sf	secondary fissure	974CFF
sm	stria medullaris of the thalamus	660CE1
sol	solitary tract	00EFDC
sox	supraoptic decussation	7126D8
sp5	spinal trigeminal tract	874CD8
st	stria terminalis	844CD0
str	superior thalamic radiation	7819FA
subcortical-white-matter	-------	777777
sumx	supramammillary decussation	BB8CFA
tfp	transverse fibers of the pons	9159DC
ts	tectospinal tract	85EFBB
tth	trigeminothalamic tract	C499FF
tz	trapezoid body	620CD4
un	uncinate fasciculus of the cerebellum	A272E1
unx	uncinate fasciculus decussation	A066ED
v	vein	6F19E1
vBrain	-------	FF5961
veme	vestibulomesencephalic tract	8E3FF6
ventricles	-------	777777
vert	vertebral artery	B999E5
vesp	vestibulospinal tract	8A4CDC
vhc	ventral hippocampal commissure	4AFF00
vlh	ventrolateral hypothalamic tract	5200BF
vn	vomeronasal nerve	777777
vsc	ventral spinocerebellar tract	904CE9
vtgx	ventral tegmental decussation	B2FDFF
xicp	-------	8B59CB
xscp	decussation of the superior cerebellar peduncle	00FF47

#Structures absent in indexer fullNameMapping
10Gn	vagus nerve ganglion	777777
11n	root of accessory nerve	777777
12C	hypoglossal canal	777777
1b	layer 1b of cortex	778899
1Cx	layer 1 of developing cortex	777777
1	layer 1 of cortex	777777
1n	olfactory nerve or its rootlets	777777
21	-------	FFFF00
2	layer 2 of cortex	777777
32	-------	40826D
321	-------	C08081
3-4	-------	F49AC2
3ECIC	-------	ABCDEF
3	layer 3 of cortex	777777
4	layer 4 of cortex	777777
5a	layer 5a of cortex	777777
5b	layer 5b of cortex	FFEF00
5Gn-5n	trigeminal ganglion and trigeminal nerve	777777
5	layer 5 of cortex	777777
5man	trigeminal nerve, mandibular division	777777
5mx	trigeminal nerve, maxillary division	777777
5n	trigeminal nerve	777777
5oph	trigeminal nerve, ophthalmic division	777777
5T	-------	C80815
5VM	motor trigeminal nucleus, ventromedial part	777777
6	layer 6 of cortex	777777
7Gn	a	777777
7gp	facial nerve, greater petrosal branch	777777
9-10-11n	glossopharyngeal, vagus, and accessory nerves	777777
9-10n	glossopharyngeal and vagus nerves	777777
9a,bCb	9th cerebellar lobule, a and b	967117
9aCb	9th cerebellar lobule, a	777777
9bCb	9th cerebellar lobule, b	777777
A4	A4 noradrenaline cells	777777
AC	anterior commissural nucleus	777777
ADig	anterior belly of the digastric muscle	777777
af	amygdaloid fissure	777777
AHiPM	amygdalohippocampal area, posteromedial part	FAD6A5
AI	agranular insular cortex	777777
Alar	alar ligament of dens	777777
ALD	apical ligament of dens	777777
Amg	amygdala	777777
AntCh	anterior chamber of the eye	777777
AOrb	alar orbital bone	777777
apal	ascending palatine artery	777777
Apex	apex of cochlea	777777
APF	anterior perifornical nucleus	777777
APit	anterior lobe of the pituitary	777777
AReCa	anterior rectus capitis muscle	777777
Ary	arytenoid cartilage	777777
ASCC	anterior semicircular canal	777777
ASph	alisphenoid bone	777777
AtAx	atlantoaxial joint	777777
ATh	anterior thalamic region	777777
ATh	anterior thalamic region	777777
Atlas	atlas	777777
AtOc	atlantooccipital joint	777777
Aty	arytenoid cartilage	777777
Aud	auditory tube	777777
AudC	auditory tube cartilage	777777
Axis	axis (C2 vertebra)	777777
BCo	basal nucleus, core	777777
BHy	body of hyoid bone	777777
BOcc	basioccipital bone	777777
BSph	basisphenoid bone	777777
BStap	base of stapes	777777
BTel	basal telencephalon	777777
BTelne	basal telencephalon, neuroepithelial zone	777777
C1-A1	C1 adrenaline cells and A1 noradrenaline cells	645452
C1-CVL	C1 cells and caudoventrolateral reticular nucleus	777777
C1-RVL	rostral ventrolateral reticular nucleus	777777
cav	cavernous sinus	777777
cbx	cerebellar commissure	777777
CCrus	common crus of the semicircular canals	777777
CD	cochlear duct	777777
CeAu	cervicoauricular muscle	777777
Cg	cingulate cortex	777777
CGn	cochlear (spiral) ganglion	777777
Clav	clavicle	777777
Cond	condylar process of mandible	777777
Cor	coronoid process of the mandible	777777
Cornea	cornea	777777
Corti	organ of Corti	777777
CPune	caudate putamen, neuroepithelial zone	777777
cpx	carotid plexus	777777
CrP	cribriform plate of the ethmoid	777777
CtdB	carotid body	777777
Ctd	carotid canal	777777
cty	chorda tympani nerve	777777
CV2	second cervical vertebra	777777
CV	cervical vertebra	777777
CVL-C1	caudoventrolateral reticular nucleus and C1 cells	777777
Cx1	developing cortex, layer 1	777777
CxA2	cortex-amygdala transition zone, layer 2	777777
Cxne	neuroepithelial zone of developing cortex	777777
CxP	cortical plate	777777
DAx	dens of the axis	777777
D	dorsal nucleus of the spinal cord	777777
DH	dorsal horn of spinal cord	777777
DRGn	dorsal root ganglion	777777
dtgx	dorsal tegmental decussation	F0EAD6
DTT1	dorsal tenia tecta layer 1	777777
ECIC1	external cortex of the inferior colliculus, layer 1	777777
EGL	external granular layer of developing cerebellum	777777
ejugv	external jugular vein	777777
ELS	endolymphatic sac	777777
emv	emissary vein	777777
EnO	enamel organ	777777
Ent	entorhinal cortex	777777
Entne	entorhinal cortex, neuroepithelial zone	777777
EpiG	epiglottis	777777
EthB	ethmoid bone	777777
ExOrb	exorbital gland	777777
Eye	eye	777777
Eyelid	eyelid	777777
farfocle	-------	777777
Fat	loculated brown fat	777777
FF	fields of Forel	777777
FMag	foramen magnum	777777
Fro	frontal bone	777777
Fro-Par	frontal and parietal bones	777777
Ge5	gelatinous layer of the caudal spinal trigeminal nucleus	FFBA00
GeGl	genioglossus muscle	777777
GeHy	geniohyoid muscle	777777
GHHy	greater horn of hyoid bone	777777
Gonial	gonial process	777777
GPF	greater palatine foramen	777777
gpn	greater palatine nerve	777777
gpv	greater palatine vein	777777
HardG	Harderian gland	777777
hbc	habenular commissure	78866B
Hb	habenular nuclei	777777
Hem	hemisphere of cerebellum	777777
Hi	hippocampal region	777777
Hil	hilus of the dentate gyrus	777777
HMall	handle of malleus	777777
HPtg	hamulus of the pterygoid bone	777777
HSCCA	horizontal semicircular canal ampulla	777777
HSCC	horizontal semicircular canal	777777
HStap	handle of stapes	777777
HyGl	hyoglossus muscle	777777
Hyoid	hyoid bone	777777
I9Gn	inferior ganglion of the glossopharyngeal nerve	777777
ial	inferior alveolar neurovascular bundle	777777
ialn	inferior alveolar nerve	777777
IAud	internal auditory meatus	777777
ICM	inferior constrictor muscle of the pharynx	777777
ICx	intermediate cortical layer	777777
ijugv	internal jugular vein	777777
ILG	-------	777777
IML	intermediolateral cell column of the spinal cord	777777
Inc	incus	777777
InfM	inferior meatus	777777
InPl	inner plexiform layer of the retina	777777
Ins	insular cortex	777777
IObCa	inferior oblique capitis muscle	777777
IOb	inferior oblique muscle	777777
IOrbF	infraorbital foramen	777777
IOrC	infraorbital canal	777777
IPit	intermediate lobe of the pituitary	777777
IRec	inferior rectus muscle	777777
IRe	infundibular recess	777777
Iris	iris	777777
isRt	isthmic reticular formation	777777
JugF	jugular foramen	777777
LacG	lacrimal gland	777777
Lar	larynx	777777
LarPh	laryngopharynx	777777
LatC	lateral cervical nucleus of the spinal cord	777777
lc	lateral column of the spinal cord	777777
Lens	lens	777777
LEnt	lateral entorhinal cortex	777777
LgCa	longus capitis muscle	777777
lgn	lingual nerve	777777
LgsCa	longissimus capitis muscle	777777
lgv	lingual vein	777777
LHb	lateral habenular nucleus	F4C2C2
LHbL	lateral habenular nucleus, lateral part	D19FE8
LHbM	lateral habenular nucleus, medial part	F4BBFF
LOT2	nucleus of the lateral olfactory tract, layer 2	777777
LPal	levator palati muscle	777777
LPBM	lateral parabrachial nucleus, medial part	777777
LPS	levator palpebrae superioris muscle	777777
LPtg	lateral pterygoid muscle	777777
LReCa	lateral rectus capitis muscle	777777
LRec	lateral rectus muscle	777777
LScM	levator scapulae muscle	777777
LSp	lateral spinal nucleus	777777
LTer	lemina terminalis	777777
Mall	malleus	777777
Man	mandible	777777
MasM	masseter muscle	777777
masn	masseteric nerve	777777
masv	masseteric vein	777777
Mc	Meckel's cartilage	777777
MCM	middle constrictor muscle of the pharynx	777777
MedCM	medial cerebellar nucleus, caudomedial part	777777
MEntV	medial entorhinal cortex, ventral part	777777
MHb	medial habenular nucleus	AB4E52
MidM	middle meatus	777777
mmp	middle meningeal artery,  parietal branch	777777
mPAG	mesencephalic periaqueductal gray	777777
MPtg	medial pterygoid muscle	777777
MRec	medial rectus muscle	777777
mRt	mesencephalic reticular formation	777777
Mst	mastoid process of temporal bone	777777
MxB	maxillary bone (maxilla)	777777
mxv	maxillary vein	777777
MyHy	mylohyoid muscle	777777
Na	nasal bone	777777
NasC	nasal cavity	777777
ne	neuroepithelium	777777
NPh	nasopharynx	777777
NSpt	nasal septum	777777
OB	olfactory bulb	777777
occ	occipital artery	777777
Occ	occipital bone	777777
occs	occipital sinus	777777
occv	occipital vein	777777
OF	optic fiber layer of the retina	777777
OmHy	omohyoid muscle	777777
OO	orbicularis oculi muscle	777777
OpD	optic disc	777777
opha	ophthalmic artery	777777
ophv	ophthalmic vein	777777
OptF	optic foramen	777777
Oral	oral cavity	777777
Otic	otic ganglion	777777
OvalW	oval window	777777
PalGl	palatoglossus muscle	777777
Pal	palatine bone	777777
PalPh	palatopharyngeus muscle	777777
PAP	paraventricular hypothalamic nucleus, anterior parvicellular part	777777
